001026032-pri 001026032    8.46043780 54966.773813  0.0203 0.071000
001026032-sec 001026032    8.46043780 54971.229080  0.0201 0.027000
001026957-pri 001026957   21.76130580 54956.017106  0.0031 0.001100
001161345-pri 001161345    4.28745550 55005.028983  0.0290 0.000400
001432214-pri 001432214  161.78830000 55047.039254  0.0013 0.091600
001433410-pri 001433410    0.28327520 54999.951811  0.1308 0.117900
001433410-sec 001433410    0.28327520 55000.093534  0.1488 0.121900
001433980-pri 001433980    1.59263440 55000.366398  0.1553 0.157800
001433980-sec 001433980    1.59263440 55001.162715  0.1491 0.058600
001571511-pri 001571511   14.02245100 54954.504752  0.0260 0.022000
001572353-pri 001572353    0.22893130 54964.674573  0.2556 0.097700
001572353-sec 001572353    0.22893130 54964.789863  0.2472 0.078500
001573836-pri 001573836    3.55709290 55000.034563  0.1768 0.000900
001573836-sec 001573836    3.55709290 55001.694303  0.4635 0.000800
001575690-pri 001575690    2.25242810 54965.432738  0.0321 0.031000
001722276-pri 001722276  569.95000000 55081.923700  0.0003 0.018200
001868650-pri 001868650    0.58473120 54953.769678  0.2816 0.044200
001868650-sec 001868650    0.58473120 54954.063681  0.2810 0.044000
001873513-pri 001873513    3.29038280 55001.074635  0.0248 0.014200
001995732-pri 001995732   77.36272130 55049.455853  0.0055 0.091100
001995732-sec 001995732   77.36272130 55081.661954  0.0067 0.062100
002010607-pri 002010607   18.63229600 54974.489675  0.0603 0.000600
002012362-pri 002012362    0.38632290 54964.744705  0.2571 0.024600
002012362-sec 002012362    0.38632290 54964.939296  0.2314 0.021300
002019076-pri 002019076    7.12922820 55004.072218  0.0190 0.087200
002019076-sec 002019076    7.12922820 55007.633980  0.0185 0.048600
002141697-pri 002141697    0.33104250 54953.836742  0.2466 0.113400
002141697-sec 002141697    0.33104250 54954.004316  0.2172 0.114500
002159783-pri 002159783    0.37388420 54964.975549  0.2041 0.326500
002159783-sec 002159783    0.37388420 54965.162192  0.2112 0.310400
002161623-pri 002161623    2.28346980 54999.599837  0.1023 0.825600
002161623-sec 002161623    2.28346980 55000.739745  0.0828 0.134900
002162283-pri 002162283    0.90637790 54954.341553  0.2580 0.010700
002162283-sec 002162283    0.90637790 54954.796102  0.2549 0.010700
002162994-pri 002162994    4.10159550 54965.631653  0.0516 0.341000
002162994-sec 002162994    4.10159550 54967.681220  0.0532 0.300500
002166200-pri 002166200    8.09695640 55006.127339  0.0152 0.100800
002167890-pri 002167890    2.64830070 55185.843253  0.0381 0.012900
002302092-pri 002302092    0.29467340 54964.690581  0.1403 0.211800
002302092-sec 002302092    0.29467340 54964.834175  0.1727 0.171300
002305277-pri 002305277    0.37877180 54964.986693  0.2646 0.053100
002305277-sec 002305277    0.37877180 54965.176799  0.2392 0.052200
002305372-pri 002305372    1.40469200 54965.954227  0.1320 0.690000
002305372-sec 002305372    1.40469200 54966.659382  0.1155 0.128400
002305543-pri 002305543    1.36227350 55003.400909  0.0659 0.107800
002305543-sec 002305543    1.36227350 55004.081637  0.0687 0.105200
002306740-pri 002306740   10.30698700 54966.425207  0.0386 0.315300
002306740-sec 002306740   10.30698700 54971.741551  0.0209 0.295000
002306756-pri 002306756  386.60000000 54999.342231  0.0006 0.023600
002306756-sec 002306756  386.60000000 55373.918971  0.0006 0.000800
002307199-pri 002307199   13.44711070 55006.176594  0.0094 0.001400
002307206-pri 002307206  204.03137910 55086.538682  0.0032 0.353400
002307206-sec 002307206  204.03137910 55190.002994  0.0019 0.196900
002308957-pri 002308957    2.21968380 54965.166461  0.1149 0.331700
002308957-sec 002308957    2.21968380 54966.275415  0.1076 0.299500
002309587-pri 002309587    1.83851060 54965.101351  0.0608 0.115300
002309719-pri 002309719   54.35636030 54997.069278  0.0043 0.009900
002435971-pri 002435971    0.27182800 54964.815967  0.2525 0.022900
002435971-sec 002435971    0.27182800 54964.943590  0.2392 0.017400
002436378-pri 002436378    8.53161300 54969.278076  0.0131 0.045500
002437038-pri 002437038    0.26767850 54964.980693  0.1849 0.270000
002437038-sec 002437038    0.26767850 54965.115630  0.1762 0.253400
002437060-pri 002437060    3.18711040 55000.890724  0.0769 0.114100
002437060-sec 002437060    3.18711040 55002.496709  0.0775 0.018200
002437149-pri 002437149   18.79873470 55008.621824  0.0131 0.233800
002437149-sec 002437149   18.79873470 55017.805006  0.0190 0.153500
002437452-pri 002437452   14.46993020 54974.816530  0.0196 0.117800
002437452-sec 002437452   14.46993020 54982.058730  0.0234 0.047700
002437505-pri 002437505   21.47642200 54982.261859  0.0088 0.034100
002438061-pri 002438061    4.88585210 55004.093627  0.0334 0.008100
002438061-sec 002438061    4.88585210 55006.541927  0.0344 0.004300
002438490-pri 002438490    3.31576730 55001.014453  0.0464 0.084400
002440757-pri 002440757    1.43377070 54964.685956  0.0493 0.001900
002441161-pri 002441161    4.38398000 55004.684524  0.0253 0.087000
