#             ID       KIC      Period  T0-2454900  Duration    Depth DISP KepMag   P1/P2   dT0/P  Pmatch(σ)  Tmatch(σ)  Dmatch(σ)  Sep(") Chan0 Mod0 Out0 Row0 Col0 Chan1 Mod1 Out1 Row1 Col1 Chan2 Mod2 Out2 Row2 Col2 Chan3 Mod3 Out3 Row3 Col3
    012459808-01 012459808    0.502443   64.936600    1.9351 0.000011  TCE 12.540   1.000     0.0      2.770      1.348      1.000   749.3    81   24    1  947  129    29   10    1  953  129     1    2    1  954  134    53   16    1  947  133 
         7525.01 012356746    0.502454   64.922197    2.3163 0.037646  KOI 13.532   1.000    -0.0      2.770      1.348      1.000   749.3    81   24    1  759  129    29   10    1  765  128     1    2    1  765  133    53   16    1  759  133 
    012356746-01 012356746    0.502453   64.923341    2.2110 0.033894  TCE 13.532   1.000    -0.0      2.517      1.241      1.000   749.3    81   24    1  759  129    29   10    1  765  128     1    2    1  765  133    53   16    1  759  133 

    005376642-01 005376642    0.503812   64.921307    2.6563 0.000032  TCE 14.364   1.000    21.0      1.631      0.376      1.000    66.6     6    3    2  649  117    34   11    2  647  118    78   23    2  646  122    50   15    2  649  121 
   005376552-sec 005376552    0.503819   54.337243    1.8234 0.301200  KEB 12.860   1.000   -21.0      1.631      0.376      1.000    66.6     6    3    2  636  128    34   11    2  634  129    78   23    2  634  133    50   15    2  637  133 

    005128966-01 005128966    0.505320   64.553957    1.2718 0.000762  TCE 14.457   1.000    -1.0      0.956      1.174      1.000     4.8    11    4    3  198  850    15    6    3  203  849    75   22    3  200  855    71   20    3  199  854 
   005128972-pri 005128972    0.505324   65.046701    1.2625 0.120900  KEB 13.236   1.000     1.0      0.956      1.174      1.000     4.8    11    4    3  196  850    15    6    3  202  849    75   22    3  199  855    71   20    3  198  854 

    005201593-01 005201593    0.507255   64.772261    3.5149 0.000025  TCE 13.639   1.000    -0.0      4.905      0.231      1.000    21.3     6    3    2  840  200    34   11    2  837  201    78   23    2  837  205    50   15    2  840  205 
   005201619-pri 005201619    0.507276   64.774736    1.6411 0.392700  KEB 13.046   1.000     0.0      4.905      0.231      1.000    21.3     6    3    2  839  195    34   11    2  837  196    78   23    2  836  200    50   15    2  839  199 
    005201596-01 005201596    0.507257   64.785208    3.2826 0.000027  TCE 15.030   1.000     0.0      4.448      0.976      1.000    50.2     6    3    2  847  204    34   11    2  845  205    78   23    2  845  209    50   15    2  848  209 
    005201676-01 005201676    0.507258   64.778963    3.3936 0.000021  TCE 14.579   1.000     0.0      4.328      0.394      1.000    57.4     6    3    2  853  194    34   11    2  851  194    78   23    2  850  198    50   15    2  854  198 
    005201695-01 005201695    0.507270   64.780964    1.7661 0.000057  TCE 15.677   1.000     0.0      1.476      0.581      1.000    51.7     6    3    2  842  183    34   11    2  840  183    78   23    2  839  187    50   15    2  842  187 

    009474493-01 009474493    0.512569   64.789206    1.5056 0.000133  TCE 15.338   1.000     0.0      2.823      0.752      1.000    17.3    48   14    4  344  691    24    8    4  344  695    40   12    4  348  695    64   18    4  349  691 
         5683.01 009474485    0.512582   64.781110    2.5712 0.405000  KOI 14.884   1.000    -0.0      2.823      0.752      1.000    17.3    48   14    4  343  695    24    8    4  343  699    40   12    4  347  699    64   18    4  348  695 
    009474483-01 009474483    0.512576   64.780038    1.7842 0.000079  TCE 15.484   1.000    -0.0      1.395      0.100      1.000    20.9    48   14    4  346  691    24    8    4  346  695    40   12    4  350  695    64   18    4  351  691 
