#        TCE       KIC           Source       KIC  Prat    Dist ΔRow ΔCol   Mag2   ΔMag     Drat      Mechanism Flag  Psig  Tsig
001433962-01 001433962          3924.01 001433980  1:1     13.5    3   -2  14.91   0.56 4.7434E+02   Direct-PRF    0 0.434 0.515
001724961-01 001724961     001724968-01 001724968  1:1      4.7    1   -1  13.39  -2.96 2.1190E+00   Direct-PRF    0 0.150 1.000
002166206-01 002166206          3735.01 002166200  1:1      8.3   -1   -2  17.64  -4.34 5.6706E+02   Direct-PRF    0 0.139 0.064
002309585-01 002309585          5982.01 002309587  1:1     11.7   -2    1  13.93   1.45 2.0011E+02   Direct-PRF    0 2.779 1.530
002437112-01 002437112          3598.01 002437149  1:1     19.7   -5    1  17.63  -1.48 1.0525E+03   Direct-PRF    0 0.166 0.194
002437112-02 002437112     002437149-02 002437149  2:1     19.7   -5    1  17.63  -1.48 6.9253E+02   Direct-PRF    0 0.664 0.018
002437488-01 002437488          6268.01 002437452  1:1     10.6    0    3  16.98  -2.02 2.5330E+02   Direct-PRF    0 0.223 0.161
002437804-01 002437804     002437783-01 002437783  1:1     14.4    4   -1  17.30  -3.14 1.4225E+02   Direct-PRF    0 1.422 0.832
002438062-01 002438062          6270.01 002438061  1:1      3.5   -1    1   0.00  16.39 2.6640E+00   Direct-PRF    0 1.940 2.004
002438070-01 002438070          6270.01 002438061  1:1      6.3    2    0   0.00  13.77 6.0790E+01   Direct-PRF    0 0.094 0.073
002438513-02 002438513          1003.01 002438502  1:1     13.3    3   -1  16.21  -2.23 2.2624E+02   Direct-PRF    0 0.550 0.313
002438517-01 002438517          3699.01 002438490  1:1     12.5   -1    3  17.77  -2.23 6.4113E+02   Direct-PRF    0 0.351 0.478
002441151-01 002441151          3642.01 002441161  1:1     10.6    2    1  16.65  -1.97 9.3570E+01   Direct-PRF    0 0.013 0.010
002445154-01 002445154          5983.01 002445134  1:1     16.7    1    4  13.55   1.61 2.3290E+02   Direct-PRF    0 0.336 0.179
002449053-01 002449053    002449084-pri 002449084  1:1     18.4    4    2  15.02   0.12 7.7040E+03   Direct-PRF    0 2.208 0.612
002449074-01 002449074    002449090-pri 002449090  1:1     10.6   -1    3  16.24  -3.09 5.5452E+02   Direct-PRF    0 0.860 0.368
002449074-02 002449074    002449090-sec 002449090  1:1     10.6   -1    3  16.24  -3.09 4.2150E+02   Direct-PRF    0 0.599 0.765
002452450-01 002452450          3687.01 002452440  1:1      7.4    0   -2  16.47  -3.36 1.4148E+02   Direct-PRF    0 0.020 0.007
002558363-01 002558363          3855.01 002558370  1:1      6.9   -1    1  18.55  -2.55 1.0683E+03   Direct-PRF    0 4.119 1.289
002569488-01 002569488          3704.01 002569494  1:1     11.4   -3    1  17.38  -3.22 4.8743E+02   Direct-PRF    0 2.709 1.318
002570505-01 002570505          6286.01 002708156  1:1    174.2   37  -22  10.67   2.89 2.0675E+04   Direct-PRF    0 0.511 0.343
002570767-01 002570767          6286.01 002708156  1:1    204.1   51    4  10.67   2.09 2.3737E+04   Direct-PRF    0 2.171 1.178
002570773-01 002570773          6286.01 002708156  1:1    231.8   58    0  10.67   6.18 6.7181E+02   Direct-PRF    0 1.758 1.528
002574543-01 002574543     002987660-01 002987660  6:1   1094.7  116   -8   7.95   5.30 1.6533E-01   Direct-PRF    1 2.804 3.113
002707916-01 002707916          6286.01 002708156  1:1    168.8    0  -42  10.67   5.67 1.3813E+03   Direct-PRF    0 1.289 1.212
002707985-01 002707985          6286.01 002708156  1:1    100.8   -6  -24  10.67   1.81 2.1364E+04   Direct-PRF    0 0.726 0.350
002708172-01 002708172          6286.01 002708156  1:1    161.0  -32   25  10.67   3.14 1.7803E+04   Direct-PRF    0 3.120 3.557
002708203-01 002708203          6286.01 002708156  1:1    105.1   25   -6  10.67   2.84 8.9015E+03   Direct-PRF    0 1.065 0.433
002708221-01 002708221          6286.01 002708156  1:1     64.7   16    4  10.67   5.49 1.0438E+03   Direct-PRF    0 2.619 2.226
002708270-01 002708270          6286.01 002708156  1:1     87.5    2   22  10.67   3.31 4.8189E+03   Direct-PRF    0 2.493 0.781
002708278-01 002708278          6286.01 002708156  1:1    169.6  -20   38  10.67   3.81 6.0463E+03   Direct-PRF    0 1.275 1.617
002708286-01 002708286          6286.01 002708156  1:1    127.6   31    6  10.67   4.48 5.2534E+03   Direct-PRF    0 1.097 0.981
002708343-01 002708343          6286.01 002708156  1:1    160.5   37   16  10.67   4.50 3.3911E+03   Direct-PRF    0 1.285 0.843
002708420-01 002708420          6286.01 002708156  1:1    187.9   16   45  10.67   3.24 8.7796E+03   Direct-PRF    0 0.987 0.762
002708445-01 002708445          6286.01 002708156  1:1    198.1   25   43  10.67   4.33 1.0682E+04   Direct-PRF    0 0.145 0.442
002711123-01 002711123          6290.01 002711114  1:1      7.6    2    0  12.34   0.19 1.4908E+01   Direct-PRF    0 0.477 0.227
002711131-01 002711131          6290.01 002711114  2:1     22.1   -3    5  12.34   1.18 5.4815E+01   Direct-PRF    0 1.659 0.692
002711606-01 002711606    003339563-pri 003339563  1:1   1990.0  501    0  14.18  -0.41 1.1863E+04  Col-Anomaly    0 3.315 0.277
002714803-01 002714803     002714831-01 002714831  1:1     36.0    9    1  14.65  -0.31 1.0556E+00   Direct-PRF    1 2.699 2.928
002714831-01 002714831     002714803-01 002714803  1:1     36.0   -9   -1  14.34   0.31 9.4737E-01   Direct-PRF    1 2.699 2.928
002714887-01 002714887     002714954-01 002714954  3:1     54.5   12    5  14.54  -0.11 5.2727E-01   Direct-PRF    1 2.896 0.524
002714947-01 002714947     002714887-01 002714887  1:3     63.0  -16   -1  14.43  -1.18 1.7188E+00   Direct-PRF    1 1.041 3.780
002714954-01 002714954     002714887-01 002714887  1:3     54.5  -12   -5  14.43   0.11 1.8966E+00   Direct-PRF    1 2.896 0.524
002715228-01 002715228     002715282-01 002715282  1:1    108.0   27   -4  15.07   0.20 8.0000E-01  Col-Anomaly    1 0.703 0.358
002715282-01 002715282     002715228-01 002715228  1:1    108.0  -27    4  15.27  -0.20 1.2500E+00  Col-Anomaly    1 0.703 0.358
002715398-01 002715398     002715228-01 002715228  1:1    191.1  -48   -3  15.27   0.35 8.1081E-01  Col-Anomaly    1 2.536 1.288
002718672-01 002718672     002718663-02 002718663  1:1      4.8    0   -1  13.52  -2.73 1.5833E+01   Direct-PRF    0 2.747 1.983
002830919-01 002830919          6363.01 003836413  1:1   5083.6 -770    6  13.76   0.99 1.0906E+03  Col-Anomaly    2 0.867 0.952
002852528-01 002852528          6294.01 002852560  1:1     17.4    0   -4  15.31   0.40 8.0689E+02   Direct-PRF    0 0.778 0.609
002860793-01 002860793          6297.01 002860788  1:1     20.8   -5    2  14.04  -0.65 1.0908E+03   Direct-PRF    0 1.601 0.947
002987660-01 002987660          4947.01 002574543  1:6   1094.7 -116    8  13.25  -5.30 6.1042E+00   Direct-PRF    1 0.161 3.427
003003992-01 003003992          6099.01 003003991  1:1     19.8   -5   -2  13.93  -2.77 2.0422E+03   Direct-PRF    0 0.359 0.155
003097346-01 003097346     003097352-01 003097352  1:1     10.3    0    3  16.94  -5.38 2.0886E+03   Direct-PRF    0 0.311 0.320
003098184-01 003098184     003098194-01 003098194  1:1      8.8   -2    0  13.90   1.25 6.5266E+00   Direct-PRF    0 0.013 0.051
003098184-02 003098184     003098194-02 003098194  1:1      8.8   -2    0  13.90   1.25 6.1069E+00   Direct-PRF    0 0.324 0.107
003098197-01 003098197     003098194-01 003098194  1:1      5.7    0   -1  13.90   0.94 3.0102E+00   Direct-PRF    0 0.005 0.050
003098197-02 003098197     003098194-02 003098194  1:1      5.7    0   -1  13.90   0.94 3.0126E+00   Direct-PRF    0 0.289 0.082
003109937-01 003109937          1112.01 003109930  1:1      4.8    1    2  14.63   1.12 1.2881E+00   Direct-PRF    0 0.337 0.343
003110937-01 003110937          6286.01 002708156  1:1   1347.3 -339    0  10.67   4.53 1.0337E+04  Col-Anomaly    0 1.613 1.131
003114661-01 003114661          3763.01 003114667  1:1      8.4   -2    1  17.38  -1.63 7.0987E+01   Direct-PRF    0 0.708 0.297
003114661-02 003114661    003114667-sec 003114667  1:1      8.4   -2    1  17.38  -1.63 1.4825E+01   Direct-PRF    0 0.424 0.275
003117046-01 003117046          4479.01 003644602  1:1   1981.8  498    0  15.14  -0.32 2.1404E+00  Col-Anomaly    1 1.201 0.964
003120276-01 003120276          6307.01 003120320  1:1     36.5    5    8  10.88   4.33 3.8282E+02   Direct-PRF    0 0.472 0.201
003120308-01 003120308          6307.01 003120320  1:1     38.7   -7    7  10.88   3.77 6.0574E+02   Direct-PRF    0 0.050 0.172
003120397-01 003120397          6307.01 003120320  1:1     50.3   -2  -13  10.88   4.79 4.9615E+02   Direct-PRF    0 0.411 0.174
003124412-01 003124412          3918.01 003124420  1:1      5.8    1    0  18.24  -3.33 9.5365E+02   Direct-PRF    0 2.157 0.942
003221119-01 003221119    003221207-pri 003221207  2:1     82.6   15   14  11.97   1.60 2.2788E+04   Direct-PRF    0 0.836 0.607
003228740-01 003228740     V404-Lyr-pri 003228863  1:1     94.1  -18  -16  11.82   1.89 2.2668E+04   Direct-PRF    0 1.366 1.237
003228804-01 003228804     V404-Lyr-pri 003228863  1:1     61.4    4  -14  11.82   3.19 5.8581E+03   Direct-PRF    0 2.320 0.327
003228824-01 003228824     003228804-01 003228804  1:1     11.2    3    1  15.01   0.73 1.0723E+00   Direct-PRF    0 4.790 2.635
003228825-01 003228825     V404-Lyr-pri 003228863  1:1     66.0  -17    3  11.82   0.21 2.1724E+04   Direct-PRF    0 3.679 1.504
