#             ID       KIC      Period  T0-2454900  Duration    Depth DISP KepMag   P1/P2   dT0/P  Pmatch(σ)  Tmatch(σ)  Dmatch(σ)  Sep(") Chan0 Mod0 Out0 Row0 Col0 Chan1 Mod1 Out1 Row1 Col1 Chan2 Mod2 Out2 Row2 Col2 Chan3 Mod3 Out3 Row3 Col3

    001433962-01 001433962    1.592624   65.337615    5.6208 0.000334  TCE 15.470   1.000   -22.0      0.482      0.552      1.000    13.5     4    2    4  205  715    56   16    4  207  713    84   24    4  210  709    32   10    4  203  709 
   001433980-pri 001433980    1.592634  100.366398    5.9361 0.157800  KEB 14.915   1.000    22.0      0.482      0.552      1.000    13.5     4    2    4  202  717    56   16    4  205  715    84   24    4  207  711    32   10    4  200  711 

    002166206-01 002166206    8.096968   65.644396    3.4111 0.000221  TCE 13.295   1.000    -5.0      0.061      0.063      1.000     8.3     3    2    3  188  692    55   16    3  191  694    83   24    3  193  698    31   10    3  187  698 
   002166200-pri 002166200    8.096956  106.127339    2.9538 0.100800  KEB 17.637   1.000     5.0      0.061      0.063      1.000     8.3     3    2    3  189  694    55   16    3  191  696    83   24    3  193  700    31   10    3  187  700 

    002309585-01 002309585    1.838445   65.127427    3.1909 0.000635  TCE 15.373   1.000     0.0      2.625      1.524      1.000    11.7     3    2    3  201  547    55   16    3  203  549    83   24    3  205  553    31   10    3  199  553 
   002309587-pri 002309587    1.838511   65.101351    2.6828 0.115300  KEB 13.925   1.000    -0.0      2.625      1.524      1.000    11.7     3    2    3  203  546    55   16    3  205  547    83   24    3  208  551    31   10    3  202  551 

    002437112-01 002437112   18.798550   71.019582    4.9062 0.000501  TCE 16.153   1.000    -2.0      0.300      0.129      1.000    19.7     1    2    1  840  103    53   16    1  834  103    81   24    1  834   98    29   10    1  839   98 
   002437149-pri 002437149   18.798735  108.621824    5.9103 0.233800  KEB 17.628   1.000     2.0      0.300      0.129      1.000    19.7     1    2    1  845  102    53   16    1  838  101    81   24    1  838   97    29   10    1  844   97 

    002437112-02 002437112   18.798463   80.229359    3.9382 0.000424  TCE 16.153   1.000    -2.0      0.439      0.536      1.000    19.7     1    2    1  840  103    53   16    1  834  103    81   24    1  834   98    29   10    1  839   98 
   002437149-sec 002437149   18.798735  117.805006    8.5722 0.153500  KEB 17.628   1.000     2.0      0.439      0.536      1.000    19.7     1    2    1  845  102    53   16    1  838  101    81   24    1  838   97    29   10    1  844   97 

    002437488-01 002437488    7.234930   67.586801    7.2261 0.000775  TCE 14.962   0.500    -1.0      0.425      0.185      1.000    10.6     1    2    1  860  112    53   16    1  854  111    81   24    1  853  107    29   10    1  859  107 
   002437452-pri 002437452   14.469930   74.816530    6.8067 0.117800  KEB 16.981   2.000     0.5      0.425      0.185      1.000    10.6     1    2    1  860  109    53   16    1  854  109    81   24    1  854  104    29   10    1  859  104 

    002437488-01 002437488    7.234930   67.586801    7.2261 0.000775  TCE 14.962   0.500    -2.0      0.425      0.074      1.000    10.6     1    2    1  860  112    53   16    1  854  111    81   24    1  853  107    29   10    1  859  107 
   002437452-sec 002437452   14.469930   82.058730    8.1263 0.047700  KEB 16.981   2.000     1.0      0.425      0.074      1.000    10.6     1    2    1  860  109    53   16    1  854  109    81   24    1  854  104    29   10    1  859  104 

    002438062-01 002438062    2.443014   64.973494    4.0480 0.014148  TCE 16.389   0.500   -16.0      4.727      1.683      1.000     3.5     1    2    1  855  156    53   16    1  849  155    81   24    1  849  151    29   10    1  855  151 
   002438061-pri 002438061    4.885852  104.093627    3.9165 0.008100  KEB  0.000   2.000     8.0      4.727      1.683      1.000     3.5     1    2    1  856  155    53   16    1  850  155    81   24    1  850  150    29   10    1  855  150 

    002438062-01 002438062    2.443014   64.973494    4.0480 0.014148  TCE 16.389   0.500   -17.0      4.727      1.962      1.000     3.5     1    2    1  855  156    53   16    1  849  155    81   24    1  849  151    29   10    1  855  151 
   002438061-sec 002438061    4.885852  106.541927    4.0338 0.004300  KEB  0.000   2.000     8.5      4.727      1.962      1.000     3.5     1    2    1  856  155    53   16    1  850  155    81   24    1  850  150    29   10    1  855  150 

    002438070-01 002438070    2.442938   65.012892    4.0579 0.000620  TCE 13.771   0.500   -16.0      0.659      0.331      1.000     6.3     1    2    1  858  155    53   16    1  851  154    81   24    1  851  150    29   10    1  857  150 
   002438061-pri 002438061    4.885852  104.093627    3.9165 0.008100  KEB  0.000   2.000     8.0      0.659      0.331      1.000     6.3     1    2    1  856  155    53   16    1  850  155    81   24    1  850  150    29   10    1  855  150 

    002438070-01 002438070    2.442938   65.012892    4.0579 0.000620  TCE 13.771   0.500   -17.0      0.659      0.048      1.000     6.3     1    2    1  858  155    53   16    1  851  154    81   24    1  851  150    29   10    1  857  150 
   002438061-sec 002438061    4.885852  106.541927    4.0338 0.004300  KEB  0.000   2.000     8.5      0.659      0.048      1.000     6.3     1    2    1  856  155    53   16    1  850  155    81   24    1  850  150    29   10    1  855  150 

    002438517-01 002438517    3.315799   64.528508    3.6092 0.000195  TCE 15.539   1.000   -11.0      0.567      0.590      1.000    12.5     1    2    1  897  173    53   16    1  891  173    81   24    1  891  168    29   10    1  896  168 
   002438490-pri 002438490    3.315767  101.014453    3.6924 0.084400  KEB 17.772   1.000    11.0      0.567      0.590      1.000    12.5     1    2    1  898  170    53   16    1  891  170    81   24    1  891  165    29   10    1  897  165 

    002441151-01 002441151    2.192008   65.216059    2.8822 0.001224  TCE 14.687   0.500   -18.0      1.118      0.676      1.000    10.6     4    2    4  985  509    56   16    4  988  507    84   24    4  991  504    32   10    4  984  503 
   002441161-pri 002441161    4.383980  104.684524    2.6620 0.087000  KEB 16.654   2.000     9.0      1.118      0.676      1.000    10.6     4    2    4  983  508    56   16    4  986  507    84   24    4  988  504    32   10    4  981  502 

    002441151-01 002441151    2.192008   65.216059    2.8822 0.001224  TCE 14.687   0.500   -19.0      1.118      0.915      1.000    10.6     4    2    4  985  509    56   16    4  988  507    84   24    4  991  504    32   10    4  984  503 
   002441161-sec 002441161    4.383980  106.880898    2.7356 0.054200  KEB 16.654   2.000     9.5      1.118      0.915      1.000    10.6     4    2    4  983  508    56   16    4  986  507    84   24    4  988  504    32   10    4  981  502 

    002445154-01 002445154    8.412077   72.643203    5.2667 0.000606  TCE 15.156   1.000    -0.0      0.336      0.153      1.000    16.7     4    2    4  662 1081    56   16    4  665 1079    84   24    4  667 1076    32   10    4  661 1075 
   002445134-pri 002445134    8.412009   72.647749    4.8049 0.137900  KEB 13.551   1.000     0.0      0.336      0.153      1.000    16.7     4    2    4  661 1077    56   16    4  664 1075    84   24    4  666 1072    32   10    4  660 1071 

    002449053-01 002449053    0.739741   64.819809    3.0281 0.000050  TCE 15.141   1.000   -48.0      2.208      0.612      1.000    18.4     3    2    3  371  619    55   16    3  373  621    83   24    3  375  624    31   10    3  369  625 
   002449084-pri 002449084    0.739757  100.319865    3.5064 0.385200  KEB 15.018   1.000    48.0      2.208      0.612      1.000    18.4     3    2    3  367  617    55   16    3  369  619    83   24    3  371  622    31   10    3  365  622 

    002449074-01 002449074    4.944084   67.194034    3.1752 0.000299  TCE 13.150   1.000    -7.0      0.860      0.368      1.000    10.6     3    2    3  316  650    55   16    3  319  651    83   24    3  321  655    31   10    3  315  655 
   002449090-pri 002449090    4.944000  101.811037    3.7851 0.165800  KEB 16.237   1.000     7.0      0.860      0.368      1.000    10.6     3    2    3  317  647    55   16    3  319  649    83   24    3  321  652    31   10    3  315  653 

    002449074-02 002449074    4.944059   64.709343    2.8464 0.000107  TCE 13.150   1.000    -8.0      0.599      0.765      1.000    10.6     3    2    3  316  650    55   16    3  319  651    83   24    3  321  655    31   10    3  315  655 
   002449090-sec 002449090    4.944000  104.280071    4.7225 0.045100  KEB 16.237   1.000     8.0      0.599      0.765      1.000    10.6     3    2    3  317  647    55   16    3  319  649    83   24    3  321  652    31   10    3  315  653 

    002452450-01 002452450    8.097060   71.422517    5.5717 0.000505  TCE 13.110   1.000    -4.0      0.078      0.012      1.000     7.4     3    2    3   47  180    55   16    3   49  182    83   24    3   51  185    31   10    3   46  185 
   002452440-pri 002452440    8.097045  103.811045    5.2858 0.066100  KEB 16.474   1.000     4.0      0.078      0.012      1.000     7.4     3    2    3   47  182    55   16    3   49  184    83   24    3   51  187    31   10    3   45  187 

    002558363-01 002558363    0.546229   64.599583    1.1837 0.000166  TCE 15.996   1.000   -65.0      4.102      1.070      1.000     6.9    15    6    3  879   55    75   22    3  875   60    71   20    3  875   61    11    4    3  873   56 
   002558370-pri 002558370    0.546248  100.092666    1.7358 0.117800  KEB 18.550   1.000    65.0      4.102      1.070      1.000     6.9    15    6    3  880   54    75   22    3  876   59    71   20    3  875   59    11    4    3  874   54 

    002569488-01 002569488    1.523272   65.334451    3.9598 0.000529  TCE 14.161   1.000   -23.0      2.672      1.284      1.000    11.4     1    2    1  771  126    53   16    1  765  126    81   24    1  765  121    29   10    1  770  121 
   002569494-pri 002569494    1.523324  100.349187    4.2409 0.155700  KEB 17.380   1.000    23.0      2.672      1.284      1.000    11.4     1    2    1  774  125    53   16    1  768  125    81   24    1  767  120    29   10    1  773  120 

    002570505-01 002570505    1.891255   65.689267    5.6106 0.000031  TCE 13.558   1.000     6.0      0.653      0.355      1.000   174.2     1    2    1  787  211    53   16    1  781  210    81   24    1  781  206    29   10    1  787  206 
   002708156-pri 002708156    1.891272   54.335595    5.7464 0.621200  KEB 10.672   1.000    -6.0      0.653      0.355      1.000   174.2     1    2    1  750  233    53   16    1  744  233    81   24    1  743  229    29   10    1  749  229 

    002570767-01 002570767    1.891212   65.703701    5.3056 0.000027  TCE 12.760   1.000     6.0      2.313      1.206      1.000   204.1     1    2    1  801  237    53   16    1  795  236    81   24    1  795  232    29   10    1  800  232 
   002708156-pri 002708156    1.891272   54.335595    5.7464 0.621200  KEB 10.672   1.000    -6.0      2.313      1.206      1.000   204.1     1    2    1  750  233    53   16    1  744  233    81   24    1  743  229    29   10    1  749  229 

    002570773-01 002570773    1.891314   65.656931    4.9525 0.000954  TCE 16.851   1.000     6.0      1.615      1.522      1.000   231.8     1    2    1  808  233    53   16    1  802  232    81   24    1  802  228    29   10    1  807  228 
   002708156-pri 002708156    1.891272   54.335595    5.7464 0.621200  KEB 10.672   1.000    -6.0      1.615      1.522      1.000   231.8     1    2    1  750  233    53   16    1  744  233    81   24    1  743  229    29   10    1  749  229 

    002707916-01 002707916    1.891302   65.662401    5.7376 0.000464  TCE 16.341   1.000     6.0      1.147      1.205      1.000   168.8     1    2    1  750  191    53   16    1  744  191    81   24    1  744  186    29   10    1  749  186 
   002708156-pri 002708156    1.891272   54.335595    5.7464 0.621200  KEB 10.672   1.000    -6.0      1.147      1.205      1.000   168.8     1    2    1  750  233    53   16    1  744  233    81   24    1  743  229    29   10    1  749  229 

    002707985-01 002707985    1.891287   65.677286    4.5494 0.000030  TCE 12.481   1.000     6.0      0.584      0.344      1.000   100.8     1    2    1  744  209    53   16    1  738  208    81   24    1  738  204    29   10    1  743  204 
   002708156-pri 002708156    1.891272   54.335595    5.7464 0.621200  KEB 10.672   1.000    -6.0      0.584      0.344      1.000   100.8     1    2    1  750  233    53   16    1  744  233    81   24    1  743  229    29   10    1  749  229 

    002708172-01 002708172    1.891187   65.744809    7.3123 0.000036  TCE 13.814   1.000     6.0      3.262      3.593      1.000   161.0     1    2    1  718  258    53   16    1  712  258    81   24    1  712  253    29   10    1  717  253 
   002708156-pri 002708156    1.891272   54.335595    5.7464 0.621200  KEB 10.672   1.000    -6.0      3.262      3.593      1.000   161.0     1    2    1  750  233    53   16    1  744  233    81   24    1  743  229    29   10    1  749  229 

    002708203-01 002708203    1.891241   65.690826    7.0058 0.000072  TCE 13.517   1.000     6.0      1.207      0.451      1.000   105.1     1    2    1  775  227    53   16    1  769  227    81   24    1  769  222    29   10    1  775  222 
   002708156-pri 002708156    1.891272   54.335595    5.7464 0.621200  KEB 10.672   1.000    -6.0      1.207      0.451      1.000   105.1     1    2    1  750  233    53   16    1  744  233    81   24    1  743  229    29   10    1  749  229 

    002708221-01 002708221    1.891200   65.721802    6.7006 0.000614  TCE 16.159   1.000     6.0      2.761      2.257      1.000    64.7     1    2    1  766  237    53   16    1  759  237    81   24    1  759  232    29   10    1  765  232 
   002708156-pri 002708156    1.891272   54.335595    5.7464 0.621200  KEB 10.672   1.000    -6.0      2.761      2.257      1.000    64.7     1    2    1  750  233    53   16    1  744  233    81   24    1  743  229    29   10    1  749  229 

    002708270-01 002708270    1.891333   65.669839    3.9610 0.000133  TCE 13.982   1.000     6.0      2.351      0.775      1.000    87.5     1    2    1  752  255    53   16    1  746  255    81   24    1  745  250    29   10    1  751  251 
   002708156-pri 002708156    1.891272   54.335595    5.7464 0.621200  KEB 10.672   1.000    -6.0      2.351      0.775      1.000    87.5     1    2    1  750  233    53   16    1  744  233    81   24    1  743  229    29   10    1  749  229 

    002708278-01 002708278    1.891235   65.711285    4.7197 0.000106  TCE 14.486   1.000     6.0      1.418      1.636      1.000   169.6     1    2    1  730  271    53   16    1  724  271    81   24    1  723  266    29   10    1  729  266 
   002708156-pri 002708156    1.891272   54.335595    5.7464 0.621200  KEB 10.672   1.000    -6.0      1.418      1.636      1.000   169.6     1    2    1  750  233    53   16    1  744  233    81   24    1  743  229    29   10    1  749  229 

    002708286-01 002708286    1.891240   65.700295    4.6668 0.000122  TCE 15.157   1.000     6.0      1.239      0.999      1.000   127.6     1    2    1  781  239    53   16    1  775  239    81   24    1  775  234    29   10    1  781  235 
   002708156-pri 002708156    1.891272   54.335595    5.7464 0.621200  KEB 10.672   1.000    -6.0      1.239      0.999      1.000   127.6     1    2    1  750  233    53   16    1  744  233    81   24    1  743  229    29   10    1  749  229 

    002708343-01 002708343    1.891302   65.668773    4.4306 0.000189  TCE 15.171   1.000     6.0      1.143      0.836      1.000   160.5     1    2    1  787  249    53   16    1  781  248    81   24    1  781  244    29   10    1  786  244 
   002708156-pri 002708156    1.891272   54.335595    5.7464 0.621200  KEB 10.672   1.000    -6.0      1.143      0.836      1.000   160.5     1    2    1  750  233    53   16    1  744  233    81   24    1  743  229    29   10    1  749  229 

    002708420-01 002708420    1.891243   65.696516    4.8991 0.000073  TCE 13.911   1.000     6.0      1.130      0.779      1.000   187.9     1    2    1  766  278    53   16    1  760  277    81   24    1  760  273    29   10    1  765  273 
