#             ID       KIC      Period  T0-2454900  Duration    Depth DISP KepMag   P1/P2   dT0/P  Pmatch(σ)  Tmatch(σ)  Dmatch(σ)  Sep(") Chan0 Mod0 Out0 Row0 Col0 Chan1 Mod1 Out1 Row1 Col1 Chan2 Mod2 Out2 Row2 Col2 Chan3 Mod3 Out3 Row3 Col3

    001433962-01 001433962    1.592624   65.337615    5.6208 0.000334  TCE 15.470   1.000     0.0      0.434      0.515      1.000    13.5     4    2    4  205  715    56   16    4  207  713    84   24    4  210  709    32   10    4  203  709 
         3924.01 001433980    1.592633   65.329247    7.5800 0.158430  KOI 14.915   1.000    -0.0      0.434      0.515      1.000    13.5     4    2    4  202  717    56   16    4  205  715    84   24    4  207  711    32   10    4  200  711 

    001433980-01 001433980    1.592721   65.263630    5.0000 0.077634  TCE 14.915   1.000    -1.0      3.794      3.823      1.000    13.5     4    2    4  202  717    56   16    4  205  715    84   24    4  207  711    32   10    4  200  711 
          982.01 001433962    1.592643   66.918350    5.6117 0.000960  KOI 15.470   1.000     1.0      3.794      3.823      1.000    13.5     4    2    4  205  715    56   16    4  207  713    84   24    4  210  709    32   10    4  203  709 

    002166200-01 002166200    8.096949   65.644603    3.5696 0.073315  TCE 17.637   1.000    -1.0      0.000      0.028      1.000     8.3     3    2    3  189  694    55   16    3  191  696    83   24    3  193  700    31   10    3  187  700 
         1028.01 002166206    8.096949   73.742360    3.3719 0.000484  KOI 13.295   1.000     1.0      0.000      0.028      1.000     8.3     3    2    3  188  692    55   16    3  191  694    83   24    3  193  698    31   10    3  187  698 

    002166206-01 002166206    8.096968   65.644396    3.4111 0.000221  TCE 13.295   1.000    -0.0      0.139      0.064      1.000     8.3     3    2    3  188  692    55   16    3  191  694    83   24    3  193  698    31   10    3  187  698 
         3735.01 002166200    8.096941   65.646280    3.5120 0.125320  KOI 17.637   1.000     0.0      0.139      0.064      1.000     8.3     3    2    3  189  694    55   16    3  191  696    83   24    3  193  700    31   10    3  187  700 

    002305372-01 002305372    1.404679   64.551861    3.5000 0.683128  TCE 13.821   1.000    -0.0      0.257      0.280      1.000    42.6     3    2    3  557 1093    55   16    3  560 1094    83   24    3  562 1098    31   10    3  556 1099 
         4434.01 002305311    1.404674   64.556210    5.0560 0.000156  KOI 14.962   1.000     0.0      0.257      0.280      1.000    42.6     3    2    3  559 1103    55   16    3  562 1105    83   24    3  564 1108    31   10    3  558 1109 

    002309585-01 002309585    1.838445   65.127427    3.1909 0.000635  TCE 15.373   1.000     0.0      2.779      1.530      1.000    11.7     3    2    3  201  547    55   16    3  203  549    83   24    3  205  553    31   10    3  199  553 
         5982.01 002309587    1.838514   65.101252    3.3003 0.127070  KOI 13.925   1.000    -0.0      2.779      1.530      1.000    11.7     3    2    3  203  546    55   16    3  205  547    83   24    3  208  551    31   10    3  202  551 

    002309587-01 002309587    1.838512   65.101631    3.1732 0.113408  TCE 13.925   1.000  -120.0      0.139      0.031      1.000    11.7     3    2    3  203  546    55   16    3  205  547    83   24    3  208  551    31   10    3  202  551 
         1004.01 002309585    1.838516  285.722567    2.7106 0.003357  KOI 15.373   1.000   120.0      0.139      0.031      1.000    11.7     3    2    3  201  547    55   16    3  203  549    83   24    3  205  553    31   10    3  199  553 

    002437112-01 002437112   18.798550   71.019582    4.9062 0.000501  TCE 16.153   1.000    -0.0      0.166      0.194      1.000    19.7     1    2    1  840  103    53   16    1  834  103    81   24    1  834   98    29   10    1  839   98 
         3598.01 002437149   18.798652   71.027279    7.6802 0.527300  KOI 17.628   1.000     0.0      0.166      0.194      1.000    19.7     1    2    1  845  102    53   16    1  838  101    81   24    1  838   97    29   10    1  844   97 

    002437149-01 002437149   18.798720   71.025894    6.0000 0.390006  TCE 17.628   1.000     0.0      0.325      0.163      1.000    19.7     1    2    1  845  102    53   16    1  838  101    81   24    1  838   97    29   10    1  844   97 
         3461.01 002437112   18.798519   71.019420    4.1390 0.000653  KOI 16.153   1.000    -0.0      0.325      0.163      1.000    19.7     1    2    1  840  103    53   16    1  834  103    81   24    1  834   98    29   10    1  839   98 

    002437452-01 002437452    7.234958   67.583023    8.1245 0.081920  TCE 16.981   0.500    -1.0      0.033      0.233      1.000    10.6     1    2    1  860  109    53   16    1  854  109    81   24    1  854  104    29   10    1  859  104 
         3920.01 002437488   14.469910   74.811430    7.5780 0.001297  KOI 14.962   2.000     0.5      0.033      0.233      1.000    10.6     1    2    1  860  112    53   16    1  854  111    81   24    1  853  107    29   10    1  859  107 

    002437488-01 002437488    7.234930   67.586801    7.2261 0.000775  TCE 14.962   1.000     0.0      0.223      0.161      1.000    10.6     1    2    1  860  112    53   16    1  854  111    81   24    1  853  107    29   10    1  859  107 
         6268.01 002437452    7.234967   67.582287    7.6610 0.196310  KOI 16.981   1.000    -0.0      0.223      0.161      1.000    10.6     1    2    1  860  109    53   16    1  854  109    81   24    1  854  104    29   10    1  859  104 

    002437783-01 002437783    7.453426   64.736529    4.1252 0.078524  TCE 17.300   1.000    -0.0      2.320      1.375      1.000    14.4     1    2    1  867  127    53   16    1  861  126    81   24    1  861  122    29   10    1  867  122 
         6269.01 002437804    7.453026   64.775600    3.6990 0.000461  KOI 14.158   1.000     0.0      2.320      1.375      1.000    14.4     1    2    1  871  126    53   16    1  865  125    81   24    1  864  121    29   10    1  870  121 

    002437804-01 002437804    7.453181   64.760177    5.0980 0.000552  TCE 14.158   1.000     0.0      0.399      0.385      1.000    14.4     1    2    1  871  126    53   16    1  865  125    81   24    1  864  121    29   10    1  870  121 
         3745.01 002437783    7.453250   64.749230    4.1102 0.046708  KOI 17.300   1.000    -0.0      0.399      0.385      1.000    14.4     1    2    1  867  127    53   16    1  861  126    81   24    1  861  122    29   10    1  867  122 

    002438061-01 002438061    2.442933   65.014598    4.2520 0.031291  TCE  0.000   1.000   -16.0      0.313      0.204      1.000     6.3     1    2    1  856  155    53   16    1  850  155    81   24    1  850  150    29   10    1  855  150 
          363.01 002438070    2.442945  104.097659    4.0701 0.001088  KOI 13.771   1.000    16.0      0.313      0.204      1.000     6.3     1    2    1  858  155    53   16    1  851  154    81   24    1  851  150    29   10    1  857  150 

    002438061-01 002438061    2.442933   65.014598    4.2520 0.031291  TCE  0.000   1.000     0.0      0.493      0.456      1.000     3.5     1    2    1  856  155    53   16    1  850  155    81   24    1  850  150    29   10    1  855  150 
         6271.01 002438062    2.442951   65.005950    4.2034 0.020546  KOI 16.389   1.000    -0.0      0.493      0.456      1.000     3.5     1    2    1  855  156    53   16    1  849  155    81   24    1  849  151    29   10    1  855  151 

    002438062-01 002438062    2.443014   64.973494    4.0480 0.014148  TCE 16.389   1.000   -16.0      1.864      1.954      1.000     9.6     1    2    1  855  156    53   16    1  849  155    81   24    1  849  151    29   10    1  855  151 
          363.01 002438070    2.442945  104.097659    4.0701 0.001088  KOI 13.771   1.000    16.0      1.864      1.954      1.000     9.6     1    2    1  858  155    53   16    1  851  154    81   24    1  851  150    29   10    1  857  150 

    002438062-01 002438062    2.443014   64.973494    4.0480 0.014148  TCE 16.389   1.000    -0.0      1.940      2.004      1.000     3.5     1    2    1  855  156    53   16    1  849  155    81   24    1  849  151    29   10    1  855  151 
         6270.01 002438061    2.442942   65.011503    4.1832 0.037690  KOI  0.000   1.000     0.0      1.940      2.004      1.000     3.5     1    2    1  856  155    53   16    1  850  155    81   24    1  850  150    29   10    1  855  150 

    002438070-01 002438070    2.442938   65.012892    4.0579 0.000620  TCE 13.771   1.000     0.0      0.094      0.073      1.000     6.3     1    2    1  858  155    53   16    1  851  154    81   24    1  851  150    29   10    1  857  150 
         6270.01 002438061    2.442942   65.011503    4.1832 0.037690  KOI  0.000   1.000    -0.0      0.094      0.073      1.000     6.3     1    2    1  856  155    53   16    1  850  155    81   24    1  850  150    29   10    1  855  150 

    002438070-01 002438070    2.442938   65.012892    4.0579 0.000620  TCE 13.771   1.000     0.0      0.350      0.366      1.000     9.6     1    2    1  858  155    53   16    1  851  154    81   24    1  851  150    29   10    1  857  150 
         6271.01 002438062    2.442951   65.005950    4.2034 0.020546  KOI 16.389   1.000    -0.0      0.350      0.366      1.000     9.6     1    2    1  855  156    53   16    1  849  155    81   24    1  849  151    29   10    1  855  151 

    002438490-01 002438490    3.315727   64.547262    4.3013 0.096990  TCE 17.772   1.000     0.0      2.155      1.584      1.000    12.5     1    2    1  898  170    53   16    1  891  170    81   24    1  891  165    29   10    1  897  165 
         6272.01 002438517    3.315849   64.513700    2.9790 0.000306  KOI 15.539   1.000    -0.0      2.155      1.584      1.000    12.5     1    2    1  897  173    53   16    1  891  173    81   24    1  891  168    29   10    1  896  168 

