#             ID       KIC      Period  T0-2454900  Duration    Depth DISP KepMag   P1/P2   dT0/P  Pmatch(σ)  Tmatch(σ)  Dmatch(σ)  Sep(") Chan0 Mod0 Out0 Row0 Col0 Chan1 Mod1 Out1 Row1 Col1 Chan2 Mod2 Out2 Row2 Col2 Chan3 Mod3 Out3 Row3 Col3

    001433962-01 001433962    1.592624   65.337615    5.6208 0.000334  TCE 15.470   1.000     0.0      4.676      4.556      1.000    13.5     4    2    4  205  715    56   16    4  207  713    84   24    4  210  709    32   10    4  203  709 
    001433980-01 001433980    1.592721   65.263630    5.0000 0.077634  TCE 14.915   1.000    -0.0      4.676      4.556      1.000    13.5     4    2    4  202  717    56   16    4  205  715    84   24    4  207  711    32   10    4  200  711 

    001433980-01 001433980    1.592721   65.263630    5.0000 0.077634  TCE 14.915   1.000    -0.0      4.676      4.556      1.000    13.5     4    2    4  202  717    56   16    4  205  715    84   24    4  207  711    32   10    4  200  711 
    001433962-01 001433962    1.592624   65.337615    5.6208 0.000334  TCE 15.470   1.000     0.0      4.676      4.556      1.000    13.5     4    2    4  205  715    56   16    4  207  713    84   24    4  210  709    32   10    4  203  709 

    001724961-01 001724961    0.620596   64.924135    2.0407 0.000084  TCE 10.431   1.000    -0.0      0.150      1.000      1.000     4.7     4    2    4   97 1064    56   16    4   99 1062    84   24    4  102 1059    32   10    4   95 1059 
    001724968-01 001724968    0.620597   64.935668    2.7990 0.000178  TCE 13.388   1.000     0.0      0.150      1.000      1.000     4.7     4    2    4   96 1065    56   16    4   98 1063    84   24    4  101 1059    32   10    4   94 1059 

    001724968-01 001724968    0.620597   64.935668    2.7990 0.000178  TCE 13.388   1.000     0.0      0.150      1.000      1.000     4.7     4    2    4   96 1065    56   16    4   98 1063    84   24    4  101 1059    32   10    4   94 1059 
    001724961-01 001724961    0.620596   64.924135    2.0407 0.000084  TCE 10.431   1.000    -0.0      0.150      1.000      1.000     4.7     4    2    4   97 1064    56   16    4   99 1062    84   24    4  102 1059    32   10    4   95 1059 

    002166200-01 002166200    8.096949   65.644603    3.5696 0.073315  TCE 17.637   1.000     0.0      0.101      0.007      1.000     8.3     3    2    3  189  694    55   16    3  191  696    83   24    3  193  700    31   10    3  187  700 
    002166206-01 002166206    8.096968   65.644396    3.4111 0.000221  TCE 13.295   1.000    -0.0      0.101      0.007      1.000     8.3     3    2    3  188  692    55   16    3  191  694    83   24    3  193  698    31   10    3  187  698 

    002166206-01 002166206    8.096968   65.644396    3.4111 0.000221  TCE 13.295   1.000    -0.0      0.101      0.007      1.000     8.3     3    2    3  188  692    55   16    3  191  694    83   24    3  193  698    31   10    3  187  698 
    002166200-01 002166200    8.096949   65.644603    3.5696 0.073315  TCE 17.637   1.000     0.0      0.101      0.007      1.000     8.3     3    2    3  189  694    55   16    3  191  696    83   24    3  193  700    31   10    3  187  700 

    002309585-01 002309585    1.838445   65.127427    3.1909 0.000635  TCE 15.373   1.000     0.0      2.689      1.508      1.000    11.7     3    2    3  201  547    55   16    3  203  549    83   24    3  205  553    31   10    3  199  553 
    002309587-01 002309587    1.838512   65.101631    3.1732 0.113408  TCE 13.925   1.000    -0.0      2.689      1.508      1.000    11.7     3    2    3  203  546    55   16    3  205  547    83   24    3  208  551    31   10    3  202  551 

    002309587-01 002309587    1.838512   65.101631    3.1732 0.113408  TCE 13.925   1.000    -0.0      2.689      1.508      1.000    11.7     3    2    3  203  546    55   16    3  205  547    83   24    3  208  551    31   10    3  202  551 
    002309585-01 002309585    1.838445   65.127427    3.1909 0.000635  TCE 15.373   1.000     0.0      2.689      1.508      1.000    11.7     3    2    3  201  547    55   16    3  203  549    83   24    3  205  553    31   10    3  199  553 

    002437112-01 002437112   18.798550   71.019582    4.9062 0.000501  TCE 16.153   1.000    -0.0      0.276      0.159      1.000    19.7     1    2    1  840  103    53   16    1  834  103    81   24    1  834   98    29   10    1  839   98 
    002437149-01 002437149   18.798720   71.025894    6.0000 0.390006  TCE 17.628   1.000     0.0      0.276      0.159      1.000    19.7     1    2    1  845  102    53   16    1  838  101    81   24    1  838   97    29   10    1  844   97 

    002437112-02 002437112   18.798463   80.229359    3.9382 0.000424  TCE 16.153   2.000     0.5      0.664      0.018      1.000    19.7     1    2    1  840  103    53   16    1  834  103    81   24    1  834   98    29   10    1  839   98 
    002437149-02 002437149    9.399311   70.830601    7.7075 0.293631  TCE 17.628   0.500    -1.0      0.664      0.018      1.000    19.7     1    2    1  845  102    53   16    1  838  101    81   24    1  838   97    29   10    1  844   97 

    002437149-01 002437149   18.798720   71.025894    6.0000 0.390006  TCE 17.628   1.000     0.0      0.276      0.159      1.000    19.7     1    2    1  845  102    53   16    1  838  101    81   24    1  838   97    29   10    1  844   97 
    002437112-01 002437112   18.798550   71.019582    4.9062 0.000501  TCE 16.153   1.000    -0.0      0.276      0.159      1.000    19.7     1    2    1  840  103    53   16    1  834  103    81   24    1  834   98    29   10    1  839   98 

    002437149-02 002437149    9.399311   70.830601    7.7075 0.293631  TCE 17.628   0.500    -1.0      0.664      0.018      1.000    19.7     1    2    1  845  102    53   16    1  838  101    81   24    1  838   97    29   10    1  844   97 
    002437112-02 002437112   18.798463   80.229359    3.9382 0.000424  TCE 16.153   2.000     0.5      0.664      0.018      1.000    19.7     1    2    1  840  103    53   16    1  834  103    81   24    1  834   98    29   10    1  839   98 

    002437452-01 002437452    7.234958   67.583023    8.1245 0.081920  TCE 16.981   1.000    -0.0      0.169      0.134      1.000    10.6     1    2    1  860  109    53   16    1  854  109    81   24    1  854  104    29   10    1  859  104 
    002437488-01 002437488    7.234930   67.586801    7.2261 0.000775  TCE 14.962   1.000     0.0      0.169      0.134      1.000    10.6     1    2    1  860  112    53   16    1  854  111    81   24    1  853  107    29   10    1  859  107 

    002437488-01 002437488    7.234930   67.586801    7.2261 0.000775  TCE 14.962   1.000     0.0      0.169      0.134      1.000    10.6     1    2    1  860  112    53   16    1  854  111    81   24    1  853  107    29   10    1  859  107 
    002437452-01 002437452    7.234958   67.583023    8.1245 0.081920  TCE 16.981   1.000    -0.0      0.169      0.134      1.000    10.6     1    2    1  860  109    53   16    1  854  109    81   24    1  854  104    29   10    1  859  104 

    002437783-01 002437783    7.453426   64.736529    4.1252 0.078524  TCE 17.300   1.000    -0.0      1.422      0.832      1.000    14.4     1    2    1  867  127    53   16    1  861  126    81   24    1  861  122    29   10    1  867  122 
    002437804-01 002437804    7.453181   64.760177    5.0980 0.000552  TCE 14.158   1.000     0.0      1.422      0.832      1.000    14.4     1    2    1  871  126    53   16    1  865  125    81   24    1  864  121    29   10    1  870  121 

    002437804-01 002437804    7.453181   64.760177    5.0980 0.000552  TCE 14.158   1.000     0.0      1.422      0.832      1.000    14.4     1    2    1  871  126    53   16    1  865  125    81   24    1  864  121    29   10    1  870  121 
    002437783-01 002437783    7.453426   64.736529    4.1252 0.078524  TCE 17.300   1.000    -0.0      1.422      0.832      1.000    14.4     1    2    1  867  127    53   16    1  861  126    81   24    1  861  122    29   10    1  867  122 

    002438061-01 002438061    2.442933   65.014598    4.2520 0.031291  TCE  0.000   1.000     0.0      2.177      2.168      1.000     3.5     1    2    1  856  155    53   16    1  850  155    81   24    1  850  150    29   10    1  855  150 
    002438062-01 002438062    2.443014   64.973494    4.0480 0.014148  TCE 16.389   1.000    -0.0      2.177      2.168      1.000     3.5     1    2    1  855  156    53   16    1  849  155    81   24    1  849  151    29   10    1  855  151 

    002438061-01 002438061    2.442933   65.014598    4.2520 0.031291  TCE  0.000   1.000     0.0      0.143      0.090      1.000     6.3     1    2    1  856  155    53   16    1  850  155    81   24    1  850  150    29   10    1  855  150 
    002438070-01 002438070    2.442938   65.012892    4.0579 0.000620  TCE 13.771   1.000    -0.0      0.143      0.090      1.000     6.3     1    2    1  858  155    53   16    1  851  154    81   24    1  851  150    29   10    1  857  150 

    002438062-01 002438062    2.443014   64.973494    4.0480 0.014148  TCE 16.389   1.000    -0.0      2.177      2.168      1.000     3.5     1    2    1  855  156    53   16    1  849  155    81   24    1  849  151    29   10    1  855  151 
    002438061-01 002438061    2.442933   65.014598    4.2520 0.031291  TCE  0.000   1.000     0.0      2.177      2.168      1.000     3.5     1    2    1  856  155    53   16    1  850  155    81   24    1  850  150    29   10    1  855  150 

    002438062-01 002438062    2.443014   64.973494    4.0480 0.014148  TCE 16.389   1.000    -0.0      2.034      2.078      1.000     9.6     1    2    1  855  156    53   16    1  849  155    81   24    1  849  151    29   10    1  855  151 
    002438070-01 002438070    2.442938   65.012892    4.0579 0.000620  TCE 13.771   1.000     0.0      2.034      2.078      1.000     9.6     1    2    1  858  155    53   16    1  851  154    81   24    1  851  150    29   10    1  857  150 

    002438070-01 002438070    2.442938   65.012892    4.0579 0.000620  TCE 13.771   1.000    -0.0      0.143      0.090      1.000     6.3     1    2    1  858  155    53   16    1  851  154    81   24    1  851  150    29   10    1  857  150 
